release_year,rank_in_year,imdb_rating,mpaa_rating,film_title,film_budget,length_in_min,domestic_distributor,worldwide_gross,domestic_gross,genre_1,genre_2,genre_3,ROI,ROI_ratio,decade,decade_label,budget_category
2016,2,7.8,PG-13,Rogue One: A Star Wars Story,200000000.0,133,Walt Disney ,1056057273.0,532177324.0,Action,Adventure,Sci-Fi,5.280286365,5.280286365,2010,2010s,Alto (100-200M)
2016,3,7.3,PG,Finding Dory,200000000.0,97,Walt Disney ,1028570889.0,486295561.0,Animation,Adventure,Comedy,5.142854445,5.142854445,2010,2010s,Alto (100-200M)
2016,4,8.0,PG,Zootopia,150000000.0,108,Walt Disney ,1023784195.0,341268248.0,Animation,Adventure,Comedy,6.825227966666667,6.825227966666667,2010,2010s,Alto (100-200M)
2016,5,7.4,PG,The Jungle Book,175000000.0,106,Walt Disney ,966550600.0,364001123.0,Adventure,Drama,Fantasy,5.523146285714286,5.523146285714286,2010,2010s,Alto (100-200M)
2016,6,6.5,PG,The Secret Life of Pets,75000000.0,87,Universal Pictures,875457937.0,368384330.0,Animation,Adventure,Comedy,11.672772493333333,11.672772493333333,2010,2010s,Medio (50-100M)
2016,7,6.6,PG-13,Fantastic Beasts and Where to Find Them,180000000.0,134,Warner Bros.,814037575.0,234037575.0,Adventure,Family,Fantasy,4.522430972222222,4.522430972222222,2010,2010s,Alto (100-200M)
2016,8,8.0,R,Deadpool ,58000000.0,108,Twentieth Century Fox,782612155.0,363070709.0,Action,Adventure,Comedy,13.493313017241379,13.493313017241379,2010,2010s,Medio (50-100M)
2016,9,6.0,PG-13,Suicide Squad,175000000.0,123,Warner Bros.,746846894.0,325100054.0,Action,Adventure,Fantasy,4.267696537142857,4.267696537142857,2010,2010s,Alto (100-200M)
2016,10,7.5,PG-13,Doctor Strange,165000000.0,115,Walt Disney ,677718395.0,232641920.0,Action,Adventure,Fantasy,4.107384212121212,4.107384212121212,2010,2010s,Alto (100-200M)
2015,1,7.9,PG-13,Star Wars: Episode VII - The Force Awakens,245000000.0,138,Walt Disney ,2068223624.0,936662225.0,Action,Adventure,Sci-Fi,8.44172907755102,8.44172907755102,2010,2010s,Muy Alto (>200M)
2015,2,7.0,PG-13,Jurassic World,150000000.0,124,Universal Pictures,1670400637.0,652270625.0,Action,Adventure,Sci-Fi,11.136004246666667,11.136004246666667,2010,2010s,Alto (100-200M)
2015,3,7.2,PG-13,Furious 7,190000000.0,137,Universal Pictures,1515047671.0,353007020.0,Action,Adventure,Thriller,7.973935110526316,7.973935110526316,2010,2010s,Alto (100-200M)
2015,4,7.3,PG-13,Avengers: Age of Ultron,250000000.0,141,Walt Disney ,1402805868.0,459005868.0,Action,Adventure,Sci-Fi,5.611223472,5.611223472,2010,2010s,Muy Alto (>200M)
2015,5,6.4,PG,Minions,74000000.0,91,Universal Pictures,1159398397.0,336045770.0,Animation,Adventure,Comedy,15.667545905405406,15.667545905405406,2010,2010s,Medio (50-100M)
2015,6,6.8,PG-13,Spectre,245000000.0,148,Sony Pictures,880674609.0,200074609.0,Action,Adventure,Thriller,3.5945902408163266,3.5945902408163266,2010,2010s,Muy Alto (>200M)
2015,7,6.5,PG-13,Batman v Superman: Dawn of Justice,250000000.0,151,Warner Bros.,873634919.0,330360194.0,Action,Adventure,Sci-Fi,3.494539676,3.494539676,2010,2010s,Muy Alto (>200M)
2015,8,8.2,PG,Inside Out,175000000.0,95,Walt Disney ,857611174.0,356461711.0,Animation,Adventure,Comedy,4.90063528,4.90063528,2010,2010s,Alto (100-200M)
2015,9,7.4,PG-13,Mission: Impossible - Rogue Nation,150000000.0,131,Paramount Pictures,682714267.0,195042377.0,Action,Adventure,Thriller,4.551428446666667,4.551428446666667,2010,2010s,Alto (100-200M)
